pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id
2.2659302,28.658173,22421,76561198389634571,4,3,4_3
1.97995,28.768036,22422,76561198389634571,4,3,4_3
1.8920593,28.87825,22423,76561198389634571,4,3,4_3
1.8700867,28.87825,22424,76561198389634571,4,3,4_3
1.8700867,28.87825,22425,76561198389634571,4,3,4_3
1.8700867,28.87825,22426,76561198389634571,4,3,4_3
1.8700867,28.922195,22427,76561198389634571,4,3,4_3
1.8700867,28.96614,22428,76561198389634571,4,3,4_3
1.7598724,29.384308,22429,76561198389634571,4,3,4_3
1.6500092,29.868042,22430,76561198389634571,4,3,4_3
1.6060638,30.066147,22431,76561198389634571,4,3,4_3
1.4519043,30.726013,22432,76561198389634571,4,3,4_3
1.3859863,31.078262,22433,76561198389634571,4,3,4_3
1.342041,31.210098,22434,76561198389634571,4,3,4_3
1.276123,31.408203,22435,76561198389634571,4,3,4_3
1.2098694,31.518066,22436,76561198389634571,4,3,4_3
1.2098694,31.54004,22437,76561198389634571,4,3,4_3
1.1878967,31.606293,22438,76561198389634571,4,3,4_3
1.1878967,31.606293,22439,76561198389634571,4,3,4_3
1.1878967,31.606293,22440,76561198389634571,4,3,4_3
1.1878967,31.606293,22441,76561198389634571,4,3,4_3
1.1878967,31.606293,22442,76561198389634571,4,3,4_3
1.1878967,31.628265,22443,76561198389634571,4,3,4_3
1.1878967,31.628265,22444,76561198389634571,4,3,4_3
1.1878967,31.628265,22445,76561198389634571,4,3,4_3
1.1878967,31.628265,22446,76561198389634571,4,3,4_3
1.1878967,31.628265,22447,76561198389634571,4,3,4_3
1.1878967,31.628265,22448,76561198389634571,4,3,4_3
1.1878967,31.628265,22449,76561198389634571,4,3,4_3
1.1878967,31.628265,22450,76561198389634571,4,3,4_3
1.1878967,31.628265,22451,76561198389634571,4,3,4_3
1.1878967,31.650238,22452,76561198389634571,4,3,4_3
1.1878967,31.738129,22453,76561198389634571,4,4,4_4
1.1878967,31.738129,22454,76561198389634571,4,4,4_4
1.1878967,31.738129,22455,76561198389634571,4,4,4_4
1.1878967,31.738129,22456,76561198389634571,4,4,4_4
1.1878967,31.738129,22457,76561198389634571,4,4,4_4
1.1878967,31.738129,22458,76561198389634571,4,4,4_4
1.1878967,31.738129,22459,76561198389634571,4,4,4_4
1.1878967,31.738129,22460,76561198389634571,4,4,4_4
1.1878967,31.738129,22461,76561198389634571,4,4,4_4
1.1878967,31.738129,22462,76561198389634571,4,4,4_4
1.1878967,31.738129,22463,76561198389634571,4,4,4_4
1.1878967,31.738129,22464,76561198389634571,4,4,4_4
1.1878967,31.738129,22465,76561198389634571,4,4,4_4
1.1878967,31.738129,22466,76561198389634571,4,4,4_4
1.1878967,31.738129,22467,76561198389634571,4,4,4_4
1.1878967,31.738129,22468,76561198389634571,4,4,4_4
1.1878967,31.738129,22469,76561198389634571,4,4,4_4
1.1878967,31.738129,22470,76561198389634571,4,4,4_4
1.1878967,31.738129,22471,76561198389634571,4,4,4_4
1.1878967,31.738129,22472,76561198389634571,4,4,4_4
1.1878967,31.738129,22473,76561198389634571,4,4,4_4
1.1878967,31.738129,22474,76561198389634571,4,4,4_4
1.1878967,31.738129,22475,76561198389634571,4,4,4_4
1.1878967,31.738129,22476,76561198389634571,4,4,4_4
1.1878967,31.738129,22477,76561198389634571,4,4,4_4
1.1878967,31.738129,22478,76561198389634571,4,4,4_4
1.1878967,31.738129,22479,76561198389634571,4,4,4_4
1.1878967,31.738129,22480,76561198389634571,4,4,4_4
1.1878967,31.738129,22481,76561198389634571,4,4,4_4
1.1878967,31.738129,22482,76561198389634571,4,4,4_4
1.1878967,31.738129,22483,76561198389634571,4,4,4_4
1.1878967,31.738129,22484,76561198389634571,4,4,4_4
1.1878967,31.738129,22485,76561198389634571,4,5,4_5
1.1878967,31.738129,22486,76561198389634571,4,5,4_5
1.1878967,31.738129,22487,76561198389634571,4,5,4_5
1.1878967,31.738129,22488,76561198389634571,4,5,4_5
1.1878967,31.738129,22489,76561198389634571,4,5,4_5
1.1878967,31.738129,22490,76561198389634571,4,5,4_5
1.1878967,31.738129,22491,76561198389634571,4,5,4_5
