tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
40079,1.4573975,-634.7556,-129.67026,-1570.7458,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40080,1.4573975,-634.29785,-129.67026,-1569.9694,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40081,1.4573975,-634.1139,-129.67026,-1569.096,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40082,1.4573975,-634.1732,-129.67026,-1568.1377,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40083,1.4573975,-634.4485,-129.67026,-1567.0966,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40084,1.4573975,-634.9199,-129.67026,-1565.9692,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40085,1.4848633,-635.5744,-129.67026,-1564.7515,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40086,1.7598724,-636.39923,-129.2854,-1563.4496,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40087,1.8975525,-637.37964,-129.58786,-1562.0693,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40088,2.1176147,-638.49316,-132.47556,-1560.6064,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40089,2.227478,-639.7148,-136.54529,-1559.0526,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40090,1.8975525,-641.01025,-143.11786,-1557.394,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40091,1.3200684,-642.33276,-152.77039,-1555.6136,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40092,0.8250122,-643.62476,-164.54053,-1553.6996,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40093,0.6049347,-644.83734,-174.96277,-1551.6532,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40094,0.9901428,-645.91956,173.65198,-1549.4863,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40095,1.5950775,-646.8519,167.60226,-1547.2136,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40096,2.942627,-647.6143,160.94696,-1544.8527,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40097,3.602478,-648.21185,159.10468,-1542.4137,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40098,3.6848755,-648.6588,159.32477,-1539.903,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40099,3.6848755,-648.9676,159.32477,-1537.3263,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40100,3.6848755,-649.1494,159.32477,-1534.6891,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40101,3.6848755,-649.2507,159.32477,-1532.0073,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40102,3.6848755,-649.4611,159.32477,-1529.2811,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
